Statement ID: 2849bec5-3204-496c-8569-39b7ea945bfd  
Account ID: 4495757880 (checking)  
Period: 2025-04-01 – 2025-04-30  
Opening Balance: 1234.56 USD  
Closing Balance: 2345.67 USD  

Transactions:  
date | description | amount | balance_after | category  
----------------------------------------------------------------  
2025-04-01 | Direct Deposit – Acme Corp Payroll | +2150.00 | 3384.56 | income  
2025-04-01 | Starbucks | -5.45 | 3379.11 | dining  
2025-04-01 | Walgreens | -23.19 | 3355.92 | pharmacy  
2025-04-02 | Rent Payment – Oakwood Apts | -950.00 | 2405.92 | rent  
2025-04-02 | Amazon Marketplace | -37.99 | 2367.93 | shopping  
2025-04-02 | Uber | -16.42 | 2351.51 | transport  
2025-04-03 | Trader Joe’s | -64.78 | 2286.73 | groceries  
2025-04-03 | Netflix | -15.99 | 2270.74 | entertainment  
2025-04-03 | ATM Withdrawal | -100.00 | 2170.74 | cash  
2025-04-03 | CVS Pharmacy | -12.33 | 2158.41 | pharmacy  
2025-04-04 | Target | -82.50 | 2075.91 | shopping  
2025-04-04 | Lyft | -13.60 | 2062.31 | transport  
2025-04-05 | Whole Foods | -54.23 | 2008.08 | groceries  
2025-04-05 | Panera Bread | -9.87 | 1998.21 | dining  
2025-04-05 | Spotify | -10.99 | 1987.22 | entertainment  
2025-04-06 | Utility Bill – City Water | -48.15 | 1939.07 | utilities  
2025-04-06 | Shell Gas | -39.20 | 1899.87 | fuel  
2025-04-07 | Venmo – Received from M. Sanders | +60.00 | 1959.87 | transfer  
2025-04-07 | Chick-fil-A | -11.54 | 1948.33 | dining  
2025-04-07 | Walgreens | -8.99 | 1939.34 | pharmacy  
2025-04-08 | H&M | -27.80 | 1911.54 | shopping  
2025-04-08 | Trader Joe’s | -32.65 | 1878.89 | groceries  
2025-04-08 | Metro Transit | -3.00 | 1875.89 | transport  
2025-04-09 | Apple.com | -2.99 | 1872.90 | subscription  
2025-04-09 | Dunkin’ | -4.18 | 1868.72 | dining  
2025-04-09 | Verizon Wireless | -85.00 | 1783.72 | utilities  
2025-04-10 | Venmo – Sent to J. Patel | -30.00 | 1753.72 | transfer  
2025-04-10 | Trader Joe’s | -58.67 | 1695.05 | groceries  
2025-04-10 | PetSmart | -29.97 | 1665.08 | pets  
2025-04-11 | PayPal – Received from L. Nguyen | +120.00 | 1785.08 | transfer  
2025-04-11 | Amazon Marketplace | -13.49 | 1771.59 | shopping  
2025-04-11 | Starbucks | -6.12 | 1765.47 | dining  
2025-04-12 | Utility Bill – City Electric | -72.34 | 1693.13 | utilities  
2025-04-12 | Walgreens | -17.45 | 1675.68 | pharmacy  
2025-04-12 | Lyft | -17.80 | 1657.88 | transport  
2025-04-13 | Whole Foods | -47.92 | 1609.96 | groceries  
2025-04-13 | Hulu | -7.99 | 1601.97 | entertainment  
2025-04-14 | Direct Deposit – Freelance Design | +300.00 | 1901.97 | income  
2025-04-14 | Chick-fil-A | -10.36 | 1891.61 | dining  
2025-04-14 | Shell Gas | -42.18 | 1849.43 | fuel  
2025-04-15 | Trader Joe’s | -61.11 | 1788.32 | groceries  
2025-04-15 | Panera Bread | -8.75 | 1779.57 | dining  
2025-04-15 | CVS Pharmacy | -13.67 | 1765.90 | pharmacy  
2025-04-16 | Target | -25.00 | 1740.90 | shopping  
2025-04-16 | Metro Transit | -3.00 | 1737.90 | transport  
2025-04-16 | Venmo – Sent to A. Kim | -40.00 | 1697.90 | transfer  
2025-04-17 | Starbucks | -5.45 | 1692.45 | dining  
2025-04-17 | Trader Joe’s | -57.44 | 1635.01 | groceries  
2025-04-17 | Amazon Marketplace | -21.99 | 1613.02 | shopping  
