Statement ID: 45189e2e-4016-460a-9d30-983867c1ea8f  
Account ID: 9453071733 (checking)  
Period: 2025-04-01 – 2025-04-30  
Opening Balance: 1234.56 USD  
Closing Balance: 2345.67 USD  

Transactions:  
date | description | amount | balance_after | category  
----------------------------------------------------------------  
2025-04-01 | PAYROLL DIRECT DEPOSIT | +1750.00 | 2984.56 | income  
2025-04-01 | Starbucks #0843 | -4.25 | 2980.31 | dining  
2025-04-01 | Quick Trip Gas | -36.00 | 2944.31 | transportation  
2025-04-02 | Amazon Marketplace | -22.19 | 2922.12 | shopping  
2025-04-02 | City Utilities | -95.75 | 2826.37 | utilities  
2025-04-02 | Walgreens #2213 | -13.48 | 2812.89 | pharmacy  
2025-04-03 | Kroger #556 | -68.42 | 2744.47 | groceries  
2025-04-03 | Uber Eats | -15.30 | 2729.17 | dining  
2025-04-04 | ATM Withdrawal | -100.00 | 2629.17 | cash  
2025-04-04 | Netflix.com | -15.49 | 2613.68 | entertainment  
2025-04-04 | Target Store #108 | -44.20 | 2569.48 | shopping  
2025-04-05 | Dunkin Donuts | -3.19 | 2566.29 | dining  
2025-04-05 | CVS Pharmacy #1174 | -9.87 | 2556.42 | pharmacy  
2025-04-05 | Zelle Transfer: L. Parsons | -50.00 | 2506.42 | transfer  
2025-04-06 | Walmart Supercenter | -77.61 | 2428.81 | groceries  
2025-04-06 | Spotify | -9.99 | 2418.82 | entertainment  
2025-04-07 | Venmo: K. Martinez | +125.00 | 2543.82 | transfer  
2025-04-07 | Chick-fil-A | -11.45 | 2532.37 | dining  
2025-04-08 | Shell Gas | -39.70 | 2492.67 | transportation  
2025-04-08 | Paypal: J. Kim | -30.00 | 2462.67 | transfer  
2025-04-08 | Walgreens #2213 | -7.60 | 2455.07 | pharmacy  
2025-04-09 | Publix | -52.33 | 2402.74 | groceries  
2025-04-09 | Apple.com | -3.99 | 2398.75 | entertainment  
2025-04-10 | Starbucks #0843 | -4.25 | 2394.50 | dining  
2025-04-10 | Home Depot #1201 | -23.65 | 2370.85 | shopping  
2025-04-11 | Rent Payment | -950.00 | 1420.85 | rent  
2025-04-11 | Lyft Ride | -16.80 | 1404.05 | transportation  
2025-04-11 | Zelle Transfer: C. Brooks | +60.00 | 1464.05 | transfer  
2025-04-12 | Domino’s Pizza | -18.97 | 1445.08 | dining  
2025-04-12 | PetSmart | -28.50 | 1416.58 | pets  
2025-04-12 | Walgreens #2213 | -6.29 | 1410.29 | pharmacy  
2025-04-13 | Aldi | -41.52 | 1368.77 | groceries  
2025-04-13 | Hulu.com | -7.99 | 1360.78 | entertainment  
