Statement ID: a31594b4-1d7c-45db-b380-bcb762171c76  
Account ID: 8871848551 (checking)  
Period: 2025-04-01 – 2025-04-30  
Opening Balance: 1234.56 USD  
Closing Balance: 2345.67 USD  

Transactions:  
date | description | amount | balance_after | category  
----------------------------------------------------------------  
2025-04-01 | Payroll Deposit | +1850.00 | 3084.56 | income  
2025-04-01 | ATM Withdrawal | -120.00 | 2964.56 | cash withdrawal  
2025-04-01 | Coffee House | -7.25 | 2957.31 | dining  
2025-04-02 | Grocery Mart | -56.13 | 2901.18 | groceries  
2025-04-02 | Metro Transit | -2.75 | 2898.43 | transportation  
2025-04-02 | Online Subscription | -14.99 | 2883.44 | subscription  
2025-04-03 | Utility Bill Payment | -89.45 | 2794.00 | utilities  
2025-04-03 | Pharmacy | -23.67 | 2770.33 | health  
2025-04-03 | Gas Station | -41.20 | 2729.13 | transportation  
2025-04-04 | Restaurant La Bella | -38.90 | 2690.23 | dining  
2025-04-04 | Bookstore | -18.42 | 2671.81 | shopping  
2025-04-04 | Coffee House | -5.50 | 2666.31 | dining  
2025-04-05 | Transfer to Savings | -200.00 | 2466.31 | transfer  
2025-04-05 | Grocery Mart | -62.84 | 2403.47 | groceries  
2025-04-05 | Movie Theater | -15.00 | 2388.47 | entertainment  
2025-04-06 | Online Retailer | -45.99 | 2342.48 | shopping  
2025-04-06 | Farmer’s Market | -23.10 | 2319.38 | groceries  
2025-04-07 | Payroll Deposit | +150.00 | 2469.38 | income  
2025-04-07 | Gym Membership | -39.99 | 2429.39 | fitness  
2025-04-07 | Coffee House | -6.25 | 2423.14 | dining  
2025-04-08 | Electric Utility | -77.31 | 2345.83 | utilities  
2025-04-08 | Lunch Express | -12.15 | 2333.68 | dining  
2025-04-08 | ATM Withdrawal | -60.00 | 2273.68 | cash withdrawal  
2025-04-09 | Grocery Mart | -48.92 | 2224.76 | groceries  
2025-04-09 | Taxi Service | -23.80 | 2200.96 | transportation  
2025-04-09 | Pharmacy | -19.63 | 2181.33 | health  
2025-04-10 | Payroll Deposit | +150.00 | 2331.33 | income  
2025-04-10 | Water Utility | -34.28 | 2297.05 | utilities  
2025-04-10 | Online Subscription | -9.99 | 2287.06 | subscription  
2025-04-11 | Coffee House | -5.75 | 2281.31 | dining  
2025-04-11 | Grocery Mart | -58.11 | 2223.20 | groceries  
2025-04-11 | Gas Station | -43.27 | 2179.93 | transportation  
2025-04-12 | Restaurant La Bella | -35.80 | 2144.13 | dining  
