Statement ID: c9979dd4-cf86-4843-9ebe-dc8524e95b61  
Account ID: 7648379107 (checking)  
Period: 2025-04-01 – 2025-04-30  
Opening Balance: 1234.56 USD  
Closing Balance: 2345.67 USD  

Transactions:  
date | description | amount | balance_after | category  
----------------------------------------------------------------  
2025-04-01 | ACH Payroll Deposit | +1850.00 | 3084.56 | income  
2025-04-01 | GreenMart Grocery | -52.13 | 3032.43 | groceries  
2025-04-01 | Java Junction Cafe | -4.75 | 3027.68 | dining  
2025-04-02 | QuickFuel Gas | -38.29 | 2989.39 | transportation  
2025-04-02 | City Water Utility | -43.80 | 2945.59 | utilities  
2025-04-03 | Amazon Marketplace | -27.99 | 2917.60 | shopping  
2025-04-03 | Mobile Payment: A. Patel | -30.00 | 2887.60 | transfer  
2025-04-03 | Walgreens Pharmacy | -14.85 | 2872.75 | health  
2025-04-04 | Subway Sandwiches | -9.50 | 2863.25 | dining  
2025-04-04 | Netstream Subscription | -15.99 | 2847.26 | entertainment  
2025-04-05 | Target Store | -68.44 | 2778.82 | shopping  
2025-04-05 | Coffee Corner | -3.25 | 2775.57 | dining  
2025-04-05 | ATM Withdrawal | -60.00 | 2715.57 | cash withdrawal  
2025-04-06 | Metro Transit Card | -25.00 | 2690.57 | transportation  
2025-04-06 | HomeRent Property Mgmt | -950.00 | 1740.57 | rent  
2025-04-07 | Refund: Online Return | +19.99 | 1760.56 | refund  
2025-04-07 | Walgreens Pharmacy | -7.99 | 1752.57 | health  
2025-04-08 | GreenMart Grocery | -41.20 | 1711.37 | groceries  
2025-04-08 | Apple Music | -10.99 | 1700.38 | entertainment  
2025-04-09 | QuickFuel Gas | -36.88 | 1663.50 | transportation  
2025-04-09 | Mobile Payment: S. Rowan | -25.00 | 1638.50 | transfer  
2025-04-09 | Starbucks | -5.20 | 1633.30 | dining  
2025-04-10 | Utility: City Electric | -61.34 | 1571.96 | utilities  
2025-04-10 | Amazon Marketplace | -22.47 | 1549.49 | shopping  
2025-04-11 | Payroll Bonus | +200.00 | 1749.49 | income  
2025-04-11 | Walgreens Pharmacy | -13.29 | 1736.20 | health  
2025-04-12 | GreenMart Grocery | -58.70 | 1677.50 | groceries  
2025-04-12 | Netflix Subscription | -16.99 | 1660.51 | entertainment  
2025-04-12 | Mobile Payment: L. Foster | -40.00 | 1620.51 | transfer  
2025-04-13 | Coffee Corner | -4.00 | 1616.51 | dining  
2025-04-13 | ATM Withdrawal | -100.00 | 1516.51 | cash withdrawal  
2025-04-14 | Target Store | -21.80 | 1494.71 | shopping  
2025-04-14 | Uber Ride | -14.25 | 1480.46 | transportation  
2025-04-15 | ACH Payroll Deposit | +1850.00 | 3330.46 | income  
2025-04-15 | GreenMart Grocery | -47.32 | 3283.14 | groceries  
2025-04-15 | Walgreens Pharmacy | -11.49 | 3271.65 | health  
2025-04-16 | Amazon Marketplace | -17.99 | 3253.66 | shopping  
2025-04-16 | Mobile Payment: D. Tran | -25.00 | 3228.66 | transfer  
2025-04-16 | Java Junction Cafe | -5.00 | 3223.66 | dining  
2025-04-17 | QuickFuel Gas | -37.10 | 3186.56 | transportation  
2025-04-17 | City Water Utility | -43.80 | 3142.76 | utilities  
2025-04-18 | HomeRent Property Mgmt | -950.00 | 2192.76 | rent  
2025-04-18 | Apple Music | -10.99 | 2181.77 | entertainment  
2025-04-18 | Walgreens Pharmacy | -16.29 | 2165.48 | health  
2025-04-19 | GreenMart Grocery | -54.12 | 2111.36 | groceries  
2025-04-19 | Target Store | -29.99 | 2081.37 | shopping  
2025-04-19 | Coffee Corner | -3.25 | 2078.12 | dining  
2025-04-20 | ATM Withdrawal | -60.00 | 2018.12 | cash withdrawal  
2025-04-20 | Mobile Payment: S. Rowan | -30.00 | 1988.12 | transfer  
2025-04-21 | Uber Ride | -13.90 | 1974.22 | transportation  
2025-04-21 | Walgreens Pharmacy | -9.99 | 1964.23 | health  
2025-04-22 | Refund: Returned Item | +24.99 | 1989.22 | refund  
2025-04-22 | GreenMart Grocery | -49.08 | 1940.14 | groceries  
2025-04-23 | Amazon Marketplace | -26.50 | 1913.64 | shopping  
2025-04-23 | Mobile Payment: L. Foster | -50.00 | 1863.64 | transfer  
2025-04-24 | QuickFuel Gas | -33.47 | 1830.17 | transportation  
2025-04-24 | Java Junction Cafe | -4.75 | 1825.42 | dining  
2025-04-25 | Netstream Subscription | -15.99 | 1809.43 | entertainment  
2025-04-25 | Walgreens Pharmacy | -12.49 | 1796.94 | health  
2025-04-26 | GreenMart Grocery | -53.12 | 1743.82 | groceries  
2025-04-26 | Coffee Corner | -3.50 | 1740.32 | dining  
2025-04-27 | Payroll Bonus | +100.00 | 1840.32 | income  
2025-04-27 | Target Store | -19.80 | 1820.52 | shopping  
2025-04-27 | Mobile Payment: D. Tran | -35.00 | 1785.52 | transfer  
2025-04-28 | HomeRent Property Mgmt | -950.00 | 835.52 | rent  
2025-04-28 | Uber Ride | -15.75 | 819.77 | transportation  
2025-04-29 | Amazon Marketplace | -18.99 | 800.78 | shopping  
2025-04-29 | Walgreens Pharmacy | -10.29 | 790.49 | health  
2025-04-30 | ACH Payroll Deposit | +1555.18 | 2345.67 | income  

**(Total transactions: 55)**

*All names, merchants, and transactions are entirely fictional and generated for demonstration purposes only.*

---Generation Metadata---
Generated At (Script): 2025-05-17T10:19:36.914663+00:00
Script Version: 1.0
